Doctor_ID,First_Name,Last_Name,Gender,Date_of_Birth,Email,Phone_Number,Address,Department_ID,Position,Qualifications,Joining_Date,Salary,Status,Supervisor_ID,Password,Password_Hash
DOC001,John,Doe,Male,1975-08-10,john.doe@smartaihospital.com,020 1234 5678,"123 Main St, London",DEPT001,Consultant,"MD, PhD",2010-05-15,150000.0,Active,DOC001,8D6DB8FBB3,504A33EC66FA21C908E65F1EB1C48A38
DOC002,Jane,Smith,Female,1980-05-25,jane.smith@smartaihospital.com,020 2345 6789,"456 Elm St, London",DEPT002,Specialist,"MBBS, MD",2015-03-20,120000.0,Active,,189307A3B2,B57BDB4CE1FECDC6922DECAA3BD6EEC0
DOC003,David,Johnson,Male,1984-11-18,david.johnson@smartaihospital.com,020 3456 7890,"789 Oak St, London",DEPT003,Surgeon,"MBBS, FRCS",2018-09-10,180000.0,Active,,6262CD140E,DE0E64DC2B4155768F326CDA34AA621D
DOC004,Emily,Brown,Female,1987-09-18,emily.brown@smartaihospital.com,020 4567 8901,"567 Pine St, London",DEPT004,Consultant,"MD, PhD",2012-08-05,155000.0,Active,,C8BB7936D7,E162E3D2F67EC0DB3CBAED2A3E2F1E05
DOC005,Michael,Johnson,Male,1992-04-28,michael.johnson@smartaihospital.com,020 5678 9012,"678 Cedar St, London",DEPT005,Specialist,MD,2017-06-10,130000.0,Active,,AAA76E08BB,14AE0190D47321D1F95A5F78DB218D29
DOC006,Sarah,Williams,Female,1989-11-05,sarah.williams@smartaihospital.com,020 6789 0123,"789 Maple St, London",DEPT006,Surgeon,"MBBS, FRCS",2020-02-15,185000.0,Active,,ABE7C31FAB,BA23171E821034B751F6550D8EFF65AF
DOC007,Matthew,Anderson,Male,1986-07-15,matthew.anderson@smartaihospital.com,020 7890 1234,"890 Elmwood St, London",DEPT007,Consultant,"MD, PhD",2019-09-30,160000.0,Active,,4454BA5E3C,1EB6B32B1649809F0BBD36712CBCA12A
DOC008,Emma,Martinez,Female,1990-05-22,emma.martinez@smartaihospital.com,020 8901 2345,"901 Oakwood St, London",DEPT008,Specialist,"MBBS, MD",2016-04-25,135000.0,Active,,5E0115ED13,2462FC676154F5438A5B35869E7607E2
DOC009,David,Taylor,Male,1988-12-10,david.taylor@smartaihospital.com,020 9012 3456,"12 Pinehurst Ave, London",DEPT009,Surgeon,"MBBS, FRCS",2018-11-15,190000.0,Active,DOC009,23F49BA9D8,40585504746F73560E44F8DF220AD223
DOC010,Olivia,Garcia,Female,1993-08-31,olivia.garcia@smartaihospital.com,020 0123 4567,"23 Cedarwood Rd, London",DEPT010,Consultant,"MD, PhD",2020-07-20,165000.0,Active,,441B263651,71C08130117466B3097F66A1290FAC09
DOC011,Daniel,Rodriguez,Male,1985-04-14,daniel.rodriguez@smartaihospital.com,020 1234 5678,"34 Maple Ave, London",DEPT011,Specialist,"MD, PhD",2014-10-08,140000.0,Active,,C98E948815,E7B0D77365FD73E8A79E16C9E01CB38F
DOC012,Sophia,Hernandez,Female,1991-11-07,sophia.hernandez@smartaihospital.com,020 2345 6789,"45 Elmwood Dr, London",DEPT012,Consultant,"MD, PhD",2019-02-20,170000.0,Active,,A8BC7BC1E0,A3C1E7A5D23167702873C5AEC914EDC1
DOC013,Ethan,Lopez,Male,1989-01-29,ethan.lopez@smartaihospital.com,020 3456 7890,"56 Pine Rd, London",DEPT013,Surgeon,"MBBS, FRCS",2018-08-12,195000.0,Active,,41E0F8DF3B,070C61F03BA6C5BA1302E748C0CF2EC9
DOC014,Isabella,Gonzales,Female,1995-07-03,isabella.gonzales@smartaihospital.com,020 4567 8901,"67 Cedar Ave, London",DEPT014,Specialist,MD,2017-11-25,145000.0,Active,,28205FBE7A,02C012B2A226A46B66734D8937AD1D36
DOC015,Benjamin,Perez,Male,1983-12-17,benjamin.perez@smartaihospital.com,020 5678 9012,"78 Oakwood Dr, London",DEPT015,Consultant,"MD, PhD",2015-06-30,175000.0,Active,,1389CEF86F,03B4BCCB21E017633F56BFCBE0E7FE34
DOC016,Mia,Sanchez,Female,1990-09-09,mia.sanchez@smartaihospital.com,020 6789 0123,"89 Elm St, London",DEPT016,Specialist,"MBBS, MD",2021-03-15,150000.0,Active,,5D47D2AABD,21ACBF457FB1B113B743597B00C8B623
DOC017,Oliver,Lee,Male,1987-05-31,oliver.lee@smartaihospital.com,020 7890 1234,"90 Maplewood Rd, London",DEPT017,Consultant,"MD, PhD",2019-12-20,180000.0,Active,,D00DEA0CB5,A45C2BFD90F7BAE3F123D27D9EF67000
DOC018,Amelia,Turner,Female,1992-02-14,amelia.turner@smartaihospital.com,020 8901 2345,"91 Pine Ave, London",DEPT018,Specialist,"MD, PhD",2016-09-10,155000.0,Active,,D92ABDD89F,2B7E786F4042C4D3204B57238636BE7C
DOC019,William,Baker,Male,1984-10-05,william.baker@smartaihospital.com,020 9012 3456,"12 Elm Ave, London",DEPT019,Consultant,"MD, PhD",2014-08-25,185000.0,Active,,2491852949,6CB740D3BFCDDC11D512F112A40AF748
DOC020,Ava,Lewis,Female,1988-08-20,ava.lewis@smartaihospital.com,020 0123 4567,"23 Cedarwood Rd, London",DEPT020,Specialist,"MBBS, MD",2020-05-05,160000.0,Active,DOC020,526E5A2B08,88BD49049E4E9B73801F73EE27F13801
