Patient_ID,First_Name,Last_Name,Gender,Date_of_Birth,Address,Phone_Number,Email,Emergency_Contact,Insurance_Details,Admission_Date,Discharge_Date,Current_Ward,Condition,Treatment,Bank_Details,Status,Password,Password_Hash,Appointment_ID
PID001,John,Doe,Male,1990-05-15,"123 Main St, City",555-1234,john.doe@example.com,Jane Doe (Spouse),ABC Insurance,2018-10-15,2019-02-25,WNID001,Stable,Medication,Banking Information XYZ,Active,A88EF4225E,3396AAEA66BF91C40D6A76A360A28422,APT001
PID002,Jane,Smith,Female,1985-08-20,"456 Elm St, Town",555-5678,jane.smith@example.com,John Smith (Spouse),XYZ Insurance,2018-09-20,2020-03-20,WNID002,Recovering,Physical Therapy,Banking Information ABC,Active,461CB12FB2,1342C9F5FAC2760988D916BDBEE8197B,APT002
PID003,David,Johnson,Male,1978-11-10,"789 Oak St, Village",555-9012,david.johnson@example.com,Emily Johnson (Sibling),DEF Insurance,2018-08-25,2018-12-26,WNID003,Critical,Surgery,Banking Information DEF,Active,71E1ECAEE5,1B1ED4B2FCF51AC218D2E29058BB7BE7,APT003
PID004,Emily,Brown,Female,1995-03-08,"101 Pine St, Countryside",555-3456,emily.brown@example.com,Sarah Brown (Parent),GHI Insurance,2018-11-05,2020-03-15,WNID004,Improving,Observation,Banking Information GHI,Active,1A70C0A68A,AFBF868A7000D6727E96D497D14CA21F,
PID005,Michael,Wilson,Male,1982-09-25,"202 Oak St, Suburb",555-6789,michael.wilson@example.com,Karen Wilson (Spouse),JKL Insurance,2018-04-10,2018-05-05,WNID001,Recovered,None,Banking Information JKL,Inactive,6CE322E9D9,168461AE0D826DED4DE76AB41CF1A70B,
PID006,Amanda,Martinez,Female,1991-12-12,"303 Cedar St, Downtown",555-2345,amanda.martinez@example.com,Carlos Martinez (Parent),MNO Insurance,2018-07-20,,WNID002,Stable,Medication,Banking Information MNO,Active,9083476915,77E64C99D599D4C1C844E7B2E2CF34FF,
PID007,Christopher,Lopez,Male,1975-06-30,"404 Maple St, City",555-7890,chris.lopez@example.com,Maria Lopez (Sibling),PQR Insurance,2018-10-15,,WNID003,Critical,Surgery,Banking Information PQR,Active,E9FBB2F0A6,CC49EAB9967AB51ACF03C794F9DEAD51,
PID008,Sarah,Garcia,Female,1988-03-17,"505 Walnut St, Town",555-1234,sarah.garcia@example.com,Daniel Garcia (Spouse),STU Insurance,2019-02-28,,WNID004,Recovering,Physical Therapy,Banking Information STU,Active,58D1232FB7,03607EB596E88C6E42F735E9FB7ED9E1,
PID009,Robert,Hernandez,Male,1970-11-05,"606 Pine St, Countryside",555-5678,robert.hernandez@example.com,Jessica Hernandez (Spouse),VWX Insurance,2019-05-10,,WNID001,Stable,Observation,Banking Information VWX,Active,291174BFAD,94032FCE883198B6B50E2B7A35DAFBFE,
PID010,Jennifer,Young,Female,1983-07-22,"707 Elm St, Suburb",555-9012,jennifer.young@example.com,Brian Young (Sibling),YZA Insurance,2019-08-20,,WNID002,Improving,Medication,Banking Information YZA,Active,BB8B4803F4,D263436DFD25522DFC795BB09BB147A6,
