Staff_ID,First_Name,Last_Name,Gender,Date_of_Birth,Phone_Number,Address,Department_ID,Position,Qualifications,Joining_Date,Salary,Status,Supervisor_ID,Email,Password,Password_Hash
STF001,John,Doe,Male,1985-03-12,020 1234 5678,"London, UK",DEPT001,Doctor,"MD, PhD",2020-01-01,100000.0,Active,STF001,john.doe@smartaihospital.com,q2oFpUeR,F958ECB0FEF0BD4B41B36063FEFD4581
STF002,Jane,Smith,Female,1988-08-25,020 1234 5678,"London, UK",DEPT002,Nurse,"RN, BSN",2019-05-15,75000.0,Active,,jane.smith@smartaihospital.com,a6sHgRtY,825933A336C5F310801325C4F9D05B8E
STF003,David,Johnson,Male,1990-12-03,020 1234 5678,"London, UK",DEPT003,Technician,Certified Technician,2018-10-20,60000.0,Active,,david.johnson@smartaihospital.com,d1kNeOwX,77FAD13B636829375FCCD031AED552E1
STF004,Emily,Brown,Female,1987-09-18,020 1234 5678,"London, UK",DEPT004,Nurse,"RN, BSN",2020-03-05,80000.0,Active,,emily.brown@smartaihospital.com,p4sSw0rD,3577E040A3620077E10A62BA0FC8E718
STF005,Michael,Johnson,Male,1992-04-28,020 1234 5678,"London, UK",DEPT005,Doctor,MD,2019-07-10,120000.0,Active,,michael.johnson@smartaihospital.com,sEcUr3P@ss,6CB1A09354195905FB8B059D35C5A03D
STF006,Sarah,Williams,Female,1989-11-05,020 1234 5678,"London, UK",DEPT006,Technician,Certified Technician,2021-01-20,70000.0,Active,,sarah.williams@smartaihospital.com,d1ff1CultPa$$,FD7A1B0FE2AF55694593A2C5C89268F4
STF007,Matthew,Anderson,Male,1986-07-15,020 1234 5678,"London, UK",DEPT007,Nurse,"RN, BSN",2018-11-30,75000.0,Active,,matthew.anderson@smartaihospital.com,MyP@ssw0rd,8E22B16443B0DF7B434B5308CCBF5DD4
STF008,Oliver,Brown,Male,1984-10-22,020 1234 5678,"London, UK",DEPT008,Nurse,"RN, BSN",2019-01-15,76000.0,Active,,oliver.brown@smartaihospital.com,Passw0rd!,DFB403D0403368ABEB75B1211989528E
STF009,Amelia,Jones,Female,1995-03-17,020 1234 5678,"London, UK",DEPT009,Doctor,"MD, PhD",2021-02-28,115000.0,Active,,amelia.jones@smartaihospital.com,Amelia@123,D9F9B04AFBD3E6E9C81ED83113857276
STF010,Ethan,Davis,Male,1983-07-09,020 1234 5678,"London, UK",DEPT010,Nurse,"RN, BSN",2018-05-20,73000.0,Active,,ethan.davis@smartaihospital.com,EthanDavis!,F9F87450422CE1F82F133397F4B5CFAB
